Cell ID,Cell Type,Fr,h,modU,vel_0,vel_1,vel_2,vel_Magnitude,z
8425,9,1.0719,1.15657,3.61054,3.61054,2.85436e-05,0,3.61054,0.745
8426,9,1.07293,1.15818,3.61654,3.61654,2.49249e-05,0,3.61654,0.735
8427,9,1.07396,1.15979,3.62254,3.62254,2.14623e-05,0,3.62254,0.725
8428,9,1.07501,1.16137,3.62855,3.62855,1.82061e-05,0,3.62855,0.715
8429,9,1.07606,1.16295,3.63456,3.63456,1.51903e-05,0,3.63456,0.705
8430,9,1.07711,1.16452,3.64056,3.64056,1.24319e-05,0,3.64056,0.695
8431,9,1.07817,1.16607,3.64657,3.64657,9.93286e-06,0,3.64657,0.685
8432,9,1.07923,1.16762,3.65258,3.65258,7.68325e-06,0,3.65258,0.675
8433,9,1.0803,1.16916,3.65859,3.65859,5.66508e-06,0,3.65859,0.665
8434,9,1.08136,1.17068,3.66459,3.66459,3.85562e-06,0,3.66459,0.655
8435,9,1.08243,1.1722,3.67059,3.67059,2.23035e-06,0,3.67059,0.645
8436,9,1.0835,1.17372,3.67658,3.67658,7.66573e-07,0,3.67658,0.635
8437,9,1.08457,1.17522,3.68256,3.68256,-5.56392e-07,0,3.68256,0.625
8438,9,1.08563,1.17672,3.68854,3.68854,-1.75341e-06,0,3.68854,0.615
8439,9,1.0867,1.17821,3.6945,3.6945,-2.84132e-06,0,3.6945,0.605
8440,9,1.08777,1.17969,3.70046,3.70046,-3.82875e-06,0,3.70046,0.595
8441,9,1.08884,1.18117,3.7064,3.7064,-4.72224e-06,0,3.7064,0.585
8442,9,1.0899,1.18263,3.71233,3.71233,-5.52644e-06,0,3.71233,0.575
8443,9,1.09097,1.18409,3.71825,3.71825,-6.24436e-06,0,3.71825,0.565
8444,9,1.09203,1.18555,3.72416,3.72416,-6.87784e-06,0,3.72416,0.555
8445,9,1.09309,1.187,3.73005,3.73005,-7.42804e-06,0,3.73005,0.545
8446,9,1.09415,1.18844,3.73593,3.73593,-7.89577e-06,0,3.73593,0.535
8447,9,1.0952,1.18988,3.7418,3.7418,-8.28195e-06,0,3.7418,0.525
8448,9,1.09626,1.19131,3.74765,3.74765,-8.58785e-06,0,3.74765,0.515
8449,9,1.09731,1.19273,3.7535,3.7535,-8.81539e-06,0,3.7535,0.505
8450,9,1.09837,1.19415,3.75933,3.75933,-8.96739e-06,0,3.75933,0.495
8451,9,1.09942,1.19556,3.76515,3.76515,-9.04767e-06,0,3.76515,0.485
8452,9,1.10047,1.19696,3.77096,3.77096,-9.06116e-06,0,3.77096,0.475
8453,9,1.10152,1.19836,3.77676,3.77676,-9.01378e-06,0,3.77676,0.465
8454,9,1.10256,1.19976,3.78255,3.78255,-8.91234e-06,0,3.78255,0.455
8455,9,1.1036,1.20115,3.78831,3.78831,-8.7643e-06,0,3.78831,0.445
8456,9,1.10464,1.20253,3.79407,3.79407,-8.57741e-06,0,3.79407,0.435
8457,9,1.10568,1.20391,3.7998,3.7998,-8.35939e-06,0,3.7998,0.425
8458,9,1.10671,1.20528,3.80552,3.80552,-8.1176e-06,0,3.80552,0.415
8459,9,1.10774,1.20665,3.81122,3.81122,-7.85867e-06,0,3.81122,0.405
8460,9,1.10877,1.20802,3.8169,3.8169,-7.58831e-06,0,3.8169,0.395
8461,9,1.10979,1.20938,3.82257,3.82257,-7.31107e-06,0,3.82257,0.385
8462,9,1.11081,1.21073,3.82822,3.82822,-7.03032e-06,0,3.82822,0.375
8463,9,1.11182,1.21208,3.83386,3.83386,-6.74824e-06,0,3.83386,0.365
8464,9,1.11284,1.21342,3.83947,3.83947,-6.46594e-06,0,3.83947,0.355
8465,9,1.11384,1.21476,3.84508,3.84508,-6.18363e-06,0,3.84508,0.345
8466,9,1.11485,1.2161,3.85066,3.85066,-5.90084e-06,0,3.85066,0.335
8467,9,1.11585,1.21743,3.85623,3.85623,-5.61662e-06,0,3.85623,0.325
8468,9,1.11685,1.21876,3.86179,3.86179,-5.32981e-06,0,3.86179,0.315
8469,9,1.11785,1.22008,3.86733,3.86733,-5.03918e-06,0,3.86733,0.305
8470,9,1.11884,1.22139,3.87285,3.87285,-4.74364e-06,0,3.87285,0.295
8471,9,1.11983,1.22271,3.87835,3.87835,-4.44222e-06,0,3.87835,0.285
8472,9,1.12081,1.22402,3.88383,3.88383,-4.13428e-06,0,3.88383,0.275
8473,9,1.12179,1.22532,3.8893,3.8893,-3.81932e-06,0,3.8893,0.265
8474,9,1.12277,1.22662,3.89475,3.89475,-3.49712e-06,0,3.89475,0.255
8475,9,1.12374,1.22792,3.90018,3.90018,-3.16757e-06,0,3.90018,0.245
8476,9,1.12471,1.22921,3.9056,3.9056,-2.83074e-06,0,3.9056,0.235
8477,9,1.12567,1.2305,3.91099,3.91099,-2.48679e-06,0,3.91099,0.225
8478,9,1.12663,1.23178,3.91637,3.91637,-2.13608e-06,0,3.91637,0.215
8479,9,1.12759,1.23307,3.92173,3.92173,-1.77911e-06,0,3.92173,0.205
8480,9,1.12854,1.23434,3.92707,3.92707,-1.41671e-06,0,3.92707,0.195
8481,9,1.12949,1.23562,3.9324,3.9324,-1.05005e-06,0,3.9324,0.185
8482,9,1.13043,1.23689,3.93771,3.93771,-6.80638e-07,0,3.93771,0.175
8483,9,1.13137,1.23815,3.943,3.943,-3.10833e-07,0,3.943,0.165
8484,9,1.13231,1.23941,3.94827,3.94827,5.66594e-08,0,3.94827,0.155
8485,9,1.13324,1.24067,3.95352,3.95352,4.18243e-07,0,3.95352,0.145
8486,9,1.13417,1.24193,3.95876,3.95876,7.71695e-07,0,3.95876,0.135
8487,9,1.13509,1.24318,3.96398,3.96398,1.11231e-06,0,3.96398,0.125
8488,9,1.13601,1.24443,3.96917,3.96917,1.4359e-06,0,3.96917,0.115
8489,9,1.13692,1.24567,3.97435,3.97435,1.73833e-06,0,3.97435,0.105
8490,9,1.13783,1.24691,3.97952,3.97952,2.01573e-06,0,3.97952,0.095
8491,9,1.13874,1.24815,3.98466,3.98466,2.26466e-06,0,3.98466,0.085
8492,9,1.13964,1.24938,3.98978,3.98978,2.48231e-06,0,3.98978,0.075
8493,9,1.14053,1.25062,3.99489,3.99489,2.6666e-06,0,3.99489,0.065
8494,9,1.14142,1.25184,3.99997,3.99997,2.81631e-06,0,3.99997,0.055
8495,9,1.14231,1.25307,4.00503,4.00503,2.93113e-06,0,4.00503,0.045
8496,9,1.14319,1.25429,4.01008,4.01008,3.01155e-06,0,4.01008,0.035
8497,9,1.14407,1.25551,4.0151,4.0151,3.0589e-06,0,4.0151,0.025
8498,9,1.14494,1.25673,4.02011,4.02011,3.07516e-06,0,4.02011,0.015
8499,9,4.62851,0.3604,8.70299,8.70299,0,0,8.70299,0.005
8500,9,0.798739,0.130344,0.903202,0.903202,0,0,0.903202,4.995
8501,9,0.780425,0.132032,0.888213,0.88819,0.00639618,0,0.888213,4.985
8502,9,0.781664,0.131863,0.889129,0.88903,0.0132666,0,0.889129,4.975
8503,9,0.779717,0.132005,0.887499,0.887291,0.0191936,0,0.887499,4.965
8504,9,0.775579,0.132436,0.884337,0.884023,0.023536,0,0.884337,4.955
8505,9,0.7703,0.133101,0.880596,0.880206,0.0262058,0,0.880596,4.945
8506,9,0.764679,0.133943,0.876973,0.876545,0.0274056,0,0.876973,4.935
8507,9,0.759234,0.134921,0.873906,0.873475,0.02745,0,0.873906,4.925
8508,9,0.75425,0.136003,0.871622,0.871214,0.026661,0,0.871622,4.915
8509,9,0.749849,0.137169,0.870204,0.869835,0.0253183,0,0.870204,4.905
8510,9,0.746053,0.138407,0.869647,0.869326,0.0236433,0,0.869647,4.895
8511,9,0.742828,0.139708,0.8699,0.869627,0.0218,0,0.8699,4.885
8512,9,0.740118,0.141068,0.870889,0.870662,0.0199045,0,0.870889,4.875
8513,9,0.737857,0.142485,0.872538,0.872352,0.0180347,0,0.872538,4.865
8514,9,0.735982,0.143958,0.874773,0.874622,0.0162409,0,0.874773,4.855
8515,9,0.734439,0.145487,0.877529,0.877408,0.0145528,0,0.877529,4.845
8516,9,0.733178,0.147069,0.880748,0.880652,0.0129863,0,0.880748,4.835
